阿姨	āyí	aunt
散	sàn	break up; disperse; distribute; disseminate; give out
扫	sǎo	sweep; broom
色	sè	color; look; expression; scene; quality
色彩	sècǎi	color
森林	sēnlín	forest
晒	shài	the sun
闪	shǎn	dodge; get out of the way; sprain; flash; sparkle; shine; lightning
闪电	shǎndiàn	lightning
善良	shànliáng	kind; virtuous
善于	shànyú	be good at
伤害	shānghài	hurt
商务	shāngwù	business
赏	shǎng	award; appreciate; reward
上个月	shàng gè yuè	last month
上楼	shàng lóu	go upstairs
上门	shàng mén	drop in; visit
烧	shāo	burn; cook; bake; roast; run a fever
设施	shèshī	facilities
设置	shèzhì	set up
申请	shēnqǐng	apply
身材	shēncái	figure
身份	shēnfèn	identity
身高	shēn gāo	height
深厚	shēn hòu	deep; profound; solid; deep-seated
神话	shénhuà	myth
神秘	shénmì	mysterious
甚至	shènzhì	even to the extent that
失败	shībài	fail
失望	shīwàng	disappointment
失业	shīyè	unemployment
诗	shī	poetry
诗人	shī rén	poet
湿	shī	wet; damp; humid
实施	shíshī	implementation
实用	shíyòng	practical
食堂	shí táng	dining room; mess hall; canteen
使劲	shǐ jìn	exert all one's strength; put in energy
士兵	shìbīng	soldiers
市区	shì qū	downtown area; urban district
似的	shìde	like
事物	shìwù	thing
事先	shìxiān	prior
试卷	shìjuàn	test paper
是否	shìfǒu	whether
收回	shōu huí	withdraw; regain; call in; countermand
收获	shōuhuò	harvest
收益	shōuyì	income; profit
手工	shǒugōng	manual
手里	shǒu lǐ	in one's hands
手术	shǒushù	operation
手套	shǒutào	glove
守	shǒu	guard; defend; observe
首（量）	shǒu	(measure word)
受不了	shòubuliǎo	cannot bear sth
售货员	shòuhuòyuán	salesperson
叔叔	shūshu	uncle
舒适	shūshì	comfortable
熟练	shúliàn	skilled
暑假	shǔ jià	summer vacation
树林	shù lín	wood; grove; forest
树叶	shù yè	leaf; tree leaf
数据	shùjù	data
数码	shùmǎ	digital
刷	shuā	brush; scrub; paste up
刷牙	shuāyá	brush one's teeth
刷子	shuā zi	brush; scrub
帅	shuài	handsome
帅哥	shuài gē	handsome boy
率先	shuài xiān	lead; take the lead
睡着	shuì zháo	sleep; fall asleep
顺序	shùnxù	order
说不定	shuōbudìng	maybe
说服	shuōfú	persuade
思考	sīkǎo	reflection
似乎	sìhū	it seems that
松	sōng	pine; loose; slack; loosen; relax; slacken
松树	sōng shù	pine tree; pine
塑料	sù liào	plastic
塑料袋	sùliàodài	plastic bag
酸	suān	acid
酸奶	suān nǎi	yogurt
随手	suíshǒu	readily
孙女	sūn nǚ	granddaughter
孙子	sūnzi	grandson
缩短	suōduǎn	shorten
缩小	suō xiǎo	reduce; lessen; narrow; shrink; zoom out
台阶	táijiē	steps
台上	tái shàng	on the stage
躺	tǎng	lie
套餐	tào cān	set meal
特价	tè jià	special offer; bargain price
特殊	tèshū	special
特征	tèzhēng	features
提供	tígōng	provide
提醒	tíxǐng	remind
体操	tǐ cāo	gymnastics
体检	tǐ jiǎn	physical examination
体重	tǐ zhòng	body weight
替	tì	replace; substitute; take the place of; for; on behalf of
替代	tì dài	replace; substitute
天真	tiānzhēn	naive
填	tián	fill; stuff; fill in; write
填空	tiánkòng	fill in the blanks
挑	tiāo	choose; pick; select
挑选	tiāo xuǎn	pick; choose; select; pick out
调皮	tiáopí	naughty
挑	tiǎo	lift up; raise; prick; incite
挑战	tiǎozhàn	dekaron
贴	tiē	stick; paste; glue; nestle up to; keep close to
停下	tíng xià	stop
挺（动）	tǐng	stand; hold out; endure; stick out
通知书	tōng zhī shū	notice
同情	tóngqíng	sympathy
童话	tónghuà	fairy tale
童年	tóng nián	childhood; babyhood
统计	tǒngjì	statistics
统一	tǒngyī	unified
痛快	tòngkuài	happy, to one's heart's content
投	tóu	throw; fling; hurl; cast; drop; put in; send; go to
投入	tóurù	put into
投诉	tóusù	complaint
投资	tóuzī	investment
透	tòu	penetrate; pass through; tell secretly; show; through
透明	tòumíng	transparent
图案	tú'àn	pattern
途中	tú zhōng	on the way to; en route
土地	tǔdì	land
推迟	tuīchí	delay
推销	tuīxiāo	promote sales
脱	tuō	take off
袜子	wàzi	socks
外汇	wài huì	foreign exchange; foreign currency
外交官	wài jiāo guān	diplomat; diplomatist
外套	wài tào	coat
弯	wān	curved; bend; turn; crooked
晚点	wǎn diǎn	late; behind schedule
万一	wànyī	in case
王	wáng	king; monarch; head; chief
网络	wǎngluò	network
网址	wǎng zhǐ	Internet site; website; URL
微笑	wēixiào	smile
微信	wēi xìn	WeChat (a Chinese social app)
围巾	wéijīn	scarf
维持	wéichí	maintain
维护	wéihù	protect
维修	wéixiū	repair
尾巴	wěiba	tail
未必	wèibì	not necessarily
未来	wèilái	future
位于	wèiyú	be located
位置	wèizhì	position
味儿	wèir	flavor; taste
喂（动）	wèi	feed
稳	wěn	steady; stable; sure; certain
稳定	wěndìng	stable
问候	wènhòu	to greet
无	wú	nothing
无法	wú fǎ	unable; incapable
无聊	wúliáo	boring
无论	wúlùn	no matter
无数	wúshù	countless
无所谓	wúsuǒwèi	cannot be designated as
无限	wú xiàn	infinite; limitless; unlimited
五颜六色	wǔ yán liù sè	colorful; multicolored
误会	wùhuì	misunderstanding
西瓜	xīguā	watermelon
吸	xī	inhale; breathe; absorb; suck in
吸管	xī guǎn	straw
吸收	xīshōu	absorb
吸烟	xī yān	smoke
吸引	xīyǐn	attract
喜爱	xǐ ài	like; love; be fond of
系列	xìliè	series
系统	xìtǒng	system
细	xì	thin; slender; delicate; careful; trifling
细节	xìjié	details
细致	xìzhì	careful
下个月	xià gè yuè	next month
下降	xià jiàng	decline; drop; decrease; fall; go down
下楼	xià lóu	go downstairs; come downstairs
下载	xiàzài	download
夏季	xià jì	summer
鲜	xiān	fresh; bright; delicious; little; rare
鲜花	xiān huā	fresh flower
鲜明	xiānmíng	distinct
咸	xián	salty
显著	xiǎnzhù	remarkable
县	xiàn	county
限制	xiànzhì	limit
相处	xiāngchǔ	get along with
相反	xiāngfǎn	contrary
箱	xiāng	chest; box; case; trunk
箱子	xiāng zi	chest; bin; box; case; trunk
想念	xiǎngniàn	miss
想象	xiǎngxiàng	imagine
项	xiàng	term
项目	xiàngmù	project
相片	xiàng piàn	photo; photograph
消化	xiāohuà	digestion
销售	xiāoshòu	sale
小吃	xiǎochī	snack
小伙子	xiǎohuǒzi	young fellow
小型	xiǎo xíng	small-size; small-scale
效率	xiàolǜ	efficiency
些	xiē	some
心理	xīnlǐ	psychology
新郎	xīnláng	groom
新娘	xīnniáng	bride
新鲜	xīnxiān	fresh
新型	xīn xíng	new type; new kind
兴奋	xīngfèn	excitement
形容	xíngróng	describe
形势	xíngshì	situation
型	xíng	mould; model; type; pattern
型号	xíng hào	model; type; pattern
醒	xǐng	wake up
兴趣	xìng qù	interest
性质	xìngzhì	nature
兄弟	xiōngdì	brother
胸部	xiōng bù	chest; thorax; breast
修理	xiūlǐ	repair
选择	xuǎnzé	choice
学分	xué fēn	credit; academic credit
学年	xué nián	school year; academic year
学时	xué shí	class hour; period
学术	xuéshù	learning
学问	xuéwen	knowledge
寻找	xúnzhǎo	seek, look for
迅速	xùnsù	rapid
牙	yá	tooth; ivory; tooth-like thing
牙刷	yá shuā	toothbrush
亚运会	yà yùn huì	Asian Games
呀	ya	ah
延长	yáncháng	extend
延期	yánqī	delay
延续	yánxù	continue
严	yán	strict; tight; severe; stern
严格	yángé	strict
严重	yánzhòng	serious
研究	yánjiū	research
研究生	yán jiū shēng	postgraduate; graduate student
研制	yán zhì	prepare; manufacture; develop
盐	yán	salt
眼镜	yǎnjìng	glasses
眼泪	yǎn lèi	tear; eyedrop
眼里	yǎn lǐ	within one's vision; in one's eyes
演讲	yǎnjiǎng	speech
阳台	yángtái	balcony
养成	yǎngchéng	cultivate
腰	yāo	waist
摇	yáo	shake
药物	yào wù	drug; medicine
要（连）	yào	if
业余	yèyú	amateur
叶子	yèzi	leaf
医疗	yī liáo	medical treatment
医学	yī xué	medical science; medicine
依靠	yīkào	rely on; depend on
依然	yīrán	still
一律	yílǜ	all and singular
一再	yízài	repeatedly
一致	yízhì	agreement
移	yí	move; remove; shift; change; alter
移动	yídòng	move
移民	yímín	immigrant
遗产	yíchǎn	heritage
遗传	yíchuán	inheritance
疑问	yíwèn	doubt
以及	yǐjí	as well as
以内	yǐ nèi	within
一般来说	yì bān lái shuō	generally speaking
义务	yìwù	obligation
议论	yìlùn	discussion
引	yǐn	lead; guide; draw; stretch; lure; attract; cause
引导	yǐndǎo	guide
引进	yǐn jìn	introduce from elsewhere; bring in; recommend
引起	yǐnqǐ	cause
应	yīng	should; ought to; answer; respond; promise
英勇	yīngyǒng	heroic
营业	yíngyè	do business
赢得	yíng dé	gain; win
影子	yǐngzi	shadow
勇敢	yǒnggǎn	brave
勇气	yǒngqì	courage
用途	yòngtú	purpose
优良	yōu liáng	fine; good; excellent
优美	yōuměi	graceful
优秀	yōuxiù	excellent
邮局	yóujú	post office
有劲儿	yǒu jìnr	strong; energetic
有趣	yǒuqù	interesting
有限	yǒu xiàn	limited; finite
幼儿园	yòu'éryuán	kindergarten
于是	yúshì	therefore
语法	yǔfǎ	grammar
语音	yǔ yīn	voice
玉	yù	jade
玉米	yùmǐ	corn
预测	yù cè	forecast; prognosis
预订	yùdìng	book; subscribe for
遇	yù	meet; encounter
遇到	yùdào	encounter
遇见	yù jiàn	meet; come across
原料	yuánliào	raw material
原则	yuánzé	principle
圆	yuán	circular
圆满	yuánmǎn	satisfactorily
约会	yuēhuì	date
月底	yuè dǐ	the end of a month
阅读	yuèdú	read
运动会	yùn dòng huì	sports meeting
运动员	yùn dòng yuán	athlete; sportsman
运气	yùnqi	luck
运用	yùnyòng	application
再三	zàisān	repeatedly
在乎	zàihu	care about
在于	zàiyú	rest with
赞成	zànchéng	agree
