啊	a	ah
送到	sòng dào	sent to (place)
送给	sòng gěi	give to (somebody or organization)
算	suàn	count; calculate
虽然	suī rán	although; though
随便	suíbiàn	casual
随时	suíshí	at any time
所以	suǒ yǐ	so
所有	suǒyǒu	all
它	tā	it
它们	tā men	they
太太	tàitai	ma'am
太阳	tàiyáng	sun
态度	tàidu	attitude
讨论	tǎolùn	discuss
套	tào	set
特别	tèbié	especially
特点	tèdiǎn	characteristic
疼	téng	hurt
提	tí	carry
提出	tí chū	put forward; propose; raise
提到	tí dào	mention; refer to
提高	tígāo	increase, promote
题	tí	topic
体育	tǐyù	sports
体育场	tǐ yù chǎng	stadium
体育馆	tǐ yù guǎn	stadium; gymnasium; gym
天上	tiān shàng	the sky; heaven
条	tiáo	strip
条件	tiáojiàn	condition
听讲	tīng jiǎng	attend a lecture; listen to a talk
听说	tīng shuō	be told; hear of
停	tíng	stop
停车	tíng chē	park
停车场	tíng chē chǎng	parking lot
挺（副）	tǐng	very; quite; pretty; rather
挺好	tǐng hǎo	very good; not half bad
通	tōng	through; common; all; understand; expert
通过	tōngguò	adopt
通知	tōngzhī	notice
同时	tóngshí	meanwhile
同事	tóngshì	colleague
同样	tóng yàng	same
头（名、量）	tóu	head; beginning or end; side; (measure word)
头（里头）	tóu	suffix (inside)
头发	tóufa	hair
图片	tú piàn	picture; photograph
推	tuī	push
腿	tuǐ	leg
外地	wài dì	other places; nonlocal
外卖	wài mài	takeaway; take out
完	wán	finish
完成	wánchéng	complete
完全	wánquán	completely
晚安	wǎn ān	good night
晚报	wǎn bào	evening paper; evening news
晚餐	wǎn cān	dinner; supper
晚会	wǎn huì	evening party
碗	wǎn	bowl
万	wàn	ten thousand
网	wǎng	net; network
网球	wǎngqiú	tennis
网站	wǎngzhàn	website
往	wǎng	to
为	wèi	by
为什么	wèishénme	why
位	wèi	person (measure word)
味道	wèidào	taste
喂（叹）	wèi	hello; hey
温度	wēndù	temperature
闻	wén	smell
